Date,Alameda,Alpine,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
09/01/13,49109570.91,36410.15353,1134439.036,6955903.335,1420871.833,671898.7095,33972456.22,863927.8612,5649172.954,29934870.48,880068.4447,4215257.276,5633532.853,580466.6831,27045017.87,4700475.749,2025674.513,1015542.994,313606564.3,4735697.255,8074452.029,569143.2505,2759226.498,8269390.24,301728.8153,435858.3156,13324364.5,4348104.289,3060767.632,97063025.6,11380894.36,591664.9949,70964139.96,45480442.03,1782283.271,65201795.24,100093514,26405775.69,22040498.57,8567083.909,23383513.98,13546766.73,58305511.97,8428856.702,5594964.366,100565.845,1402134.993,13121825.2,15424955.1,16449819.59,2967271.112,1973843.22,429508.4348,14248913.39,1718471.662,26295294.02,6500056.971,2294778.079
10/01/13,51031339.45,37834.96516,1178832.201,7228103.559,1476473.761,698191.6251,35301875.24,897735.3117,5870237.863,31106289.64,914507.5127,4380209.824,5853985.731,603181.6568,28103350.56,4884415.992,2104943.736,1055283.487,325878698.2,4921015.795,8390423.593,591415.1126,2867201.269,8592990.176,313536.146,452914.4369,13845777.01,4518255.44,3180542.389,100861321.2,11826254.48,614818.1839,73741127.2,47260194.55,1852028.045,67753288.9,104010399.5,27439093.39,22902993.11,8902333.272,24298563.75,14076882.34,60587138.48,8758696.922,5813907.971,104501.2139,1457003.706,13635311.89,16028568.46,17093538.22,3083387.139,2051084.168,446316.071,14806505.59,1785719.344,27324288.32,6754418.896,2384577.933
11/01/13,48132935.98,35686.07008,1111878.611,6817572.293,1392615.161,658536.7572,33296850.9,846747.053,5536828.669,29339560.05,862566.6511,4131429.066,5521499.602,568923.0263,26507177.51,4606998.068,1985390.217,995347.0373,307369916,4641519.129,7913876.571,557824.7811,2704354.16,8104938.074,295728.378,427190.4644,13059384.8,4261634.168,2999898.589,95132747.27,11154564.16,579898.6389,69552886.39,44575979.07,1746839.262,63905136.59,98102968.78,25880647.85,21602182.36,8396711.552,22918489.43,13277364.14,57145998.7,8261233.25,5483698.12,98565.90663,1374250.938,12860873.37,15118201.25,16122684.41,2908261.421,1934589.686,420966.8628,13965547.32,1684296.665,25772363.31,6370791.28,2249142.159
12/01/13,49966517.68,37045.49941,1154234.645,7077281.69,1445665.606,683623.1335,34565265.04,879003.1343,5747749.269,30457224.68,895425.366,4288812.208,5731836.253,590595.6466,27516945.04,4782497.592,2061021.904,1033263.904,319078901.6,4818333.702,8215348.712,579074.6236,2807374.144,8413688.533,306993.8895,443463.9079,13556870.53,4423977.359,3114177.077,98756745.28,11579487.43,601989.3655,72202442.18,46274061.63,1813383.562,66339546.34,101840114.8,26866548.28,22425098.43,8716576.865,23791549.04,13783153.6,59322925.06,8575937.636,5692594.758,102320.6878,1426601.814,13350796.98,15694115.77,16736863.84,3019049.072,2008286.172,437003.2238,14497552.51,1748458.459,26754138.74,6613480.948,2334821.244
01/01/14,48483764,35447.02934,1098126.414,6796442.113,1382464.623,656090.0718,33495126.32,827808.5269,5529126.997,29410031.45,860939.1554,4098261.787,5537996.375,567304.8642,26536261.84,4551605.824,1977810.13,957374.5817,307195660.2,4665749.525,7955038.783,555265.6754,2683855.215,8102770.297,293695.2491,420792.5082,13036856.58,4278697.225,2979744.949,95184630.81,11218055.18,564866.5475,69824460.57,44687518.22,1757294.861,63851925.67,98531220.51,25996967.14,21674166.86,8414966.274,22988267.18,13345974.18,57516203.5,8266411.828,5459878.803,97654.58469,1365731.675,12904273.11,15151730.59,16126234.34,2913788.482,1915785.448,418232.2756,13974358.88,1678842.021,25763224,6359038.573,2247213.648
02/01/14,45788621.45,33476.58007,1037083.15,6418637.694,1305615.408,619618.9705,31633180.53,781791.8442,5221770.798,27775170.19,813080.7888,3870445.322,5230147.139,535769.2046,25061149.29,4298588.617,1867866.516,904155.5088,290119096.2,4406387.235,7512829.644,524399.2569,2534663.573,7652348.977,277369.1536,397401.2593,12312156.51,4040850.614,2814105.223,89893454.4,10594459.66,533466.4304,65943019.46,42203403.5,1659609.373,60302489.17,93054012,24551833.21,20469331.17,7947190.429,21710382.54,12604090.71,54318960.66,7806893.911,5156372.011,92226.1071,1289812.62,12186943.17,14309467.72,15229800.22,2751815.181,1809289.697,394983.3463,13197544.41,1585517.613,24331083.52,6005548.785,2122294.281
03/01/14,51462906.77,37625.11438,1165602.103,7214057.615,1467411.813,696404.3097,35553274.36,878674.2104,5868870.808,31217165.95,913840.5899,4350084.377,5878285.175,602163.589,28166814.13,4831284.679,2099339.035,1016201.606,326071664.3,4952442.077,8443845.64,589384.6379,2848767.904,8600654.694,311741.7044,446648.6063,13837921.8,4541606.885,3162838.936,101033364.1,11907361.97,599575.447,74114907.93,47433396.14,1865273.942,67775383.49,104585589,27594381.83,23005961.92,8932033.926,24400808.7,14166033.5,61050355.31,8774351.374,5795367.575,103655.0873,1449650.688,13697191.58,16082746.76,17117130.07,3092829.695,2033503.173,443931.0572,14833030.05,1782000.473,27346276.06,6749777.291,2385296.374
04/01/14,49982661.41,36542.89022,1132075.487,7006557.184,1425204.14,676373.3921,34530643.25,853400.6006,5700062.45,30319255.82,887555.4774,4224961.398,5709206.028,584843.3497,27356642.33,4692320.769,2038955.021,986972.2484,316692752.4,4809993.275,8200972.392,572431.964,2766827.809,8353271.092,302774.9701,433801.4982,13439896.87,4410975.078,3071865.107,98127306.57,11564866.41,582329.6514,71983115.23,46069052.98,1811622.424,65825936.73,101577357.6,26800675.09,22344233.49,8675118.749,23698959.82,13758570.99,59294342.86,8521971.675,5628673.416,100673.6202,1407953.885,13303214.52,15620153.17,16624784.14,3003869.566,1975012.819,431162.1149,14406382.48,1730744.178,26559705.68,6555631.116,2316687.271
05/01/14,52587289.75,38447.16352,1191068.662,7371673.344,1499472.436,711619.6405,36330057.07,897871.8497,5997096.337,31899211.56,933806.5589,4445126.828,6006716.393,615319.9094,28782214.4,4936840.595,2145206.267,1038404.001,333195813.6,5060645.089,8628330.289,602261.7584,2911008.969,8788565.372,318552.7667,456407.1707,14140258.46,4640833.8,3231941.956,103240783,12167518.97,612675.2206,75734201.24,48469740.69,1906027.223,69256168.24,106870618.4,28197275.35,23508605.74,9127184.715,24933927.71,14475538.89,62384208.85,8966057.049,5921987.175,105919.7867,1481323.259,13996453.51,16434129.3,17491112.24,3160403.123,2077931.995,453630.2475,15157108.25,1820934.36,27943748.87,6897249.231,2437411.321
06/01/14,50389890.88,36840.6203,1141298.976,7063642.511,1436815.869,681884.0865,34811978.72,860353.6091,5746503.222,30566279.37,894786.7598,4259383.91,5755721.297,589608.311,27579528.24,4730551.052,2055567.233,995013.5205,319272979.6,4849182.284,8267789.114,577095.8045,2789370.302,8421328.655,305241.8033,437335.8589,13549397.29,4446913.121,3096892.866,98926790.42,11659090.17,587074.1325,72569591.52,46444396.66,1826382.463,66362247.93,102404950.4,27019031.3,22526281.23,8745798.538,23892045.07,13870667.77,59777438.45,8591403.711,5674532.552,101493.8499,1419425.069,13411601.33,15747417.03,16760233.15,3028343.337,1991104.067,434674.9714,14523757.25,1744845.269,26776098.61,6609042.561,2335562.283
